Consist,Form,Opponent,Venue,Runs
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.88,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.88,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.88,0.88,0
0.834,0.834,0.834,0.834,0
0.801,0.801,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.88,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.834,0
0.801,0.577,0.88,0.834,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.834,0.834,0
0.768,0.577,0.88,0.834,0
0.768,0.577,0.834,0.834,0
0.768,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.834,0.88,0
0.801,0.577,0.834,0.88,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.88,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.801,0.577,0.88,0.88,0
0.801,0.577,0.834,0.88,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
0.834,0.577,0.834,0.834,0
2.745,0.577,0.968,2.824,1
2.319,0.577,0.834,0.834,1
1.893,0.577,0.913,1.562,1
1.893,0.577,0.913,1.837,1
2.549,0.577,0.834,0.834,1
2.549,0.577,0.834,1.686,1
2.549,0.577,0.913,2.549,1
2.549,0.577,0.834,0.834,1
2.516,0.577,0.88,1.562,1
2.516,0.577,0.913,1.339,1
2.516,0.577,0.913,1.713,1
2.09,0.577,0.991,1.916,1
2.516,0.577,0.913,2.123,1
2.516,0.577,0.968,3.07,1
2.09,0.577,0.968,1.49,1
2.09,0.577,0.991,2.398,1
2.09,0.577,0.88,0.834,1
